from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
10744,10744,4,0,14301228,14301242
10744,10744,4,0,14301229,14301243
10744,10744,4,0,14301230,14301244
10744,10744,4,0,14301231,14301245
10744,10744,4,0,14301232,14301246
10744,10744,4,0,14301233,14301247
10744,10744,4,0,14301234,14301248
10744,10744,4,0,14301235,14301249
10744,10744,4,0,14301236,14301250
10745,11284,2,300,,
10745,11285,2,300,,
10745,11349,0,240,,
10745,994,0,240,,
1075,1076,0,240,,
10753,4005,2,360,,
10755,1493,2,360,,
1076,1828,0,240,,
1076,1833,0,240,,
10764,10819,0,240,,
10764,10823,0,240,,
1079,1254,0,240,,
1079,659,0,240,,
10799,10799,0,240,,
10799,11280,2,300,,
10799,11281,2,300,,
10799,12866,2,300,,
10799,1586,0,240,,
10811,10811,4,0,14284913,14284930
10811,10811,4,0,14284914,14284931
10811,10811,4,0,14284915,14284932
10811,10811,4,0,14284916,14284933
10811,10811,4,0,14284917,14284934
10811,10811,4,0,14284918,14284935
10811,10811,4,0,14284919,14284936
10811,10811,4,0,14284920,14284937
10811,10811,4,0,14284921,14284938
10811,10811,4,0,14284922,14284939
10811,10811,4,0,14284923,14284940
10811,10811,4,0,14284924,14284941
10811,10811,4,0,14284925,14284942
10811,10811,4,0,14284926,14284929
10811,10811,4,0,14284927,14284943
10811,10811,4,0,14284928,14284944
10811,10811,4,0,14284945,14284968
10811,10811,4,0,14284946,14284969
10811,10811,4,0,14284947,14284970
10811,10811,4,0,14284948,14284973
10811,10811,4,0,14284949,14284974
10811,10811,4,0,14284950,14284962
10811,10811,4,0,14284951,14284960
10811,10811,4,0,14284952,14284961
10811,10811,4,0,14284953,14284972
10811,10811,4,0,14284954,14284971
10811,10811,4,0,14284955,14284963
10811,10811,4,0,14284956,14284964
10811,10811,4,0,14284957,14284965
10811,10811,4,0,14284958,14284966
10811,10811,4,0,14284959,14284967
10811,10811,4,0,14284975,14284997
10811,10811,4,0,14284976,14284998
10811,10811,4,0,14284977,14284987
10811,10811,4,0,14284978,14284988
10811,10811,4,0,14284979,14284989
10811,10811,4,0,14284980,14284990
10811,10811,4,0,14284981,14284991
10811,10811,4,0,14284982,14284992
10811,10811,4,0,14284983,14284993
10811,10811,4,0,14284984,14284996
10811,10811,4,0,14284985,14284994
10811,10811,4,0,14284986,14284995
10811,10811,4,0,14447881,14447882
10812,12974,2,300,,
10812,1988,0,240,,
10814,10352,0,240,,
10814,12818,2,300,,
10819,10764,0,240,,
10819,12054,0,240,,
10819,4722,0,240,,
10819,4750,0,240,,
10823,10764,0,240,,
10823,12054,0,240,,
10823,4722,0,240,,
10823,4750,0,240,,
10827,10827,0,240,,
10827,4371,2,300,,
10833,10833,0,240,,
10855,10854,2,360,,
10855,11681,2,300,,
10856,10856,0,240,,
10856,11757,2,300,,
1086,1544,0,240,,
1086,1570,0,240,,
10860,11940,0,240,,
10860,11941,0,240,,
10860,11942,0,240,,
10860,11943,0,240,,
10860,12020,0,240,,
10860,12022,0,240,,
10860,12230,0,240,,
10860,12231,0,240,,
10860,12332,0,240,,
10860,8020,2,120,,
10860,8033,2,120,,
10865,10866,0,240,,
10865,10867,0,240,,
10865,12693,0,240,,
10865,4242,0,240,,
10865,4471,0,240,,
10865,4568,0,240,,
10865,8037,0,240,,
10865,989,0,240,,
10866,10865,0,240,,
10866,10866,2,120,,
10866,10867,0,240,,
10866,12693,0,240,,
10866,4242,2,120,,
10866,4459,0,240,,
10866,4471,0,240,,
10866,4568,2,120,,
10866,8037,0,240,,
10866,989,2,120,,
10867,8037,2,120,,
10874,7117,2,300,,
10879,10879,0,240,,
10879,10882,0,240,,
10879,4018,2,300,,
10879,4228,2,300,,
10880,10880,0,240,,
10880,10881,0,240,,
10880,11764,2,360,,
10880,11882,0,240,,
10880,5045,0,240,,
10880,5122,0,240,,
10880,5262,0,240,,
10880,5494,0,240,,
10880,5667,0,240,,
10880,5668,0,240,,
10880,5768,0,240,,
10880,5769,0,240,,
10880,5793,0,240,,
10880,5891,0,240,,
10880,6467,0,240,,
10880,8057,0,240,,
10880,8060,0,240,,
10881,10880,0,240,,
10881,11882,0,240,,
10881,5045,0,240,,
10881,5122,0,240,,
10881,5262,0,240,,
10881,5494,0,240,,
10881,5667,0,240,,
10881,5768,2,300,,
10881,5769,2,300,,
10881,5793,0,240,,
10881,5891,2,300,,
10882,10879,0,240,,
10882,10882,0,240,,
10882,4018,2,300,,
10884,10884,0,240,,
10884,5844,0,240,,
10884,8056,2,300,,
10884,8061,2,300,,
10885,10885,0,240,,
10885,10886,0,240,,
10885,10887,0,240,,
10885,10888,0,240,,
10885,10889,0,240,,
10885,10890,0,240,,
10885,10891,0,240,,
10885,10892,0,240,,
10885,12655,0,240,,
10885,12793,0,240,,
10886,10885,0,240,,
10886,10887,0,240,,
10886,10888,0,240,,
10886,10889,0,240,,
10886,10890,0,240,,
10886,10892,0,240,,
10886,12655,0,240,,
10886,12793,0,240,,
10888,10885,0,240,,
10888,10886,0,240,,
10888,10887,0,240,,
10888,10888,0,240,,
10888,10889,0,240,,
10888,10890,0,240,,
10888,10891,0,240,,
10888,10892,0,240,,
10888,12655,0,240,,
10888,12793,0,240,,
10890,10885,0,240,,
10890,10888,0,240,,
10890,10889,0,240,,
10890,12655,0,240,,
10890,12793,0,240,,
10891,10885,0,240,,
10891,10886,0,240,,
10891,10887,0,240,,
10891,10888,0,240,,
10891,10889,0,240,,
10891,10890,0,240,,
10891,10891,0,240,,
10891,10892,0,240,,
10891,12655,0,240,,
10891,12793,0,240,,
10892,10885,0,240,,
10892,10886,0,240,,
10892,10887,0,240,,
10892,10888,0,240,,
10892,10889,0,240,,
10892,10890,0,240,,
10892,10892,0,240,,
10892,12655,0,240,,
10893,10316,2,300,,
10893,12673,2,300,,
10893,7828,0,240,,
10895,779,2,480,,
1091,8753,2,300,,
1091,8762,2,300,,
10914,10914,0,240,,
10914,5148,0,240,,
10914,5252,0,240,,
10914,5890,0,240,,
10914,7639,0,240,,
10916,11664,2,480,,
10916,5180,0,240,,
10916,5183,2,360,,
10916,6060,2,360,,
10916,9720,2,480,,
1092,902,0,240,,
1092,915,0,240,,
10921,1685,2,300,,
10921,1736,2,300,,
10929,2203,0,240,,
10929,2252,0,240,,
10929,2397,0,240,,
10929,3535,0,240,,
10929,5989,0,240,,
10929,6984,0,240,,
10929,8052,0,240,,
10929,8065,0,240,,
10947,11867,0,240,,
10947,4461,0,240,,
10948,10914,0,240,,
10948,5148,0,240,,
10948,5252,0,240,,
10948,5890,0,240,,
10948,7639,0,240,,
10948,8055,0,240,,
10948,8062,0,240,,
10959,10961,2,300,,
10959,11759,2,420,,
10959,1896,2,420,,
10960,10958,2,420,,
10960,10961,2,360,,
10961,10958,2,300,,
10961,11759,2,360,,
10961,1896,2,420,,
10966,13003,2,360,,
10966,549,0,240,,
10967,13003,2,360,,
10967,549,2,360,,
10968,313,2,360,,
10968,365,0,240,,
10968,366,0,240,,
10969,313,2,360,,
10969,365,0,240,,
10971,10972,0,240,,
10971,8747,0,240,,
10971,8756,0,240,,
10971,9952,0,240,,
10972,10034,2,300,,
10972,10971,0,240,,
10972,10972,0,240,,
10972,8747,0,240,,
10972,8756,0,240,,
10972,9952,0,240,,
10976,230,2,300,,
11,11427,2,300,,
11,11542,0,240,,
110,11113,0,240,,
110,322,0,240,,
110,569,0,240,,
11007,1312,0,240,,
11007,1350,0,240,,
11009,663,0,240,,
11009,706,0,240,,
11010,793,0,240,,
11010,842,0,240,,
11011,1312,0,240,,
11011,1350,0,240,,
11013,1042,0,240,,
11013,1105,0,240,,
11014,337,0,240,,
11014,463,2,300,,
11015,663,0,240,,
11015,706,0,240,,
11016,113,0,240,,
11016,56,0,240,,
11020,165,0,240,,
11020,251,0,240,,
11021,337,2,300,,
11021,463,2,300,,
11022,793,0,240,,
11022,842,0,240,,
11023,1042,0,240,,
11023,1105,0,240,,
11029,11029,0,240,,
11032,11032,0,240,,
11032,11998,0,240,,
1105,11013,2,300,,
1105,11023,0,240,,
11074,5456,0,240,,
11074,5516,0,240,,
11075,6051,0,240,,
11075,9023,0,240,,
11076,6051,0,240,,
11076,9022,0,240,,
11077,5474,2,360,,
11077,5498,2,360,,
11078,5474,2,360,,
11078,5498,2,360,,
1108,1514,0,240,,
1108,1596,0,240,,
11088,11227,2,360,,
11088,11278,2,300,,
11088,11279,2,300,,
11088,12548,2,300,,
11095,8752,2,300,,
11095,8761,2,300,,
11095,906,0,240,,
11095,911,0,240,,
11113,110,0,240,,
11113,569,2,300,,
11113,59,2,300,,
11113,60,0,240,,
11114,7645,2,540,,
11122,5561,0,240,,
11122,5623,0,240,,
11123,6019,2,300,,
11123,6073,0,240,,
11124,6019,2,300,,
11124,6073,0,240,,
11126,12196,2,300,,
11126,9291,0,240,,
11126,9293,2,360,,
11127,5025,2,300,,
11127,5067,0,240,,
11128,5138,0,240,,
11128,8542,0,240,,
11129,5138,0,240,,
11129,8542,0,240,,
11130,5025,2,300,,
11130,5067,0,240,,
11131,5651,0,240,,
11131,5683,0,240,,
11132,5651,0,240,,
11132,5683,0,240,,
11133,5715,0,240,,
11133,5729,0,240,,
11134,5715,0,240,,
11134,5729,0,240,,
11135,5781,0,240,,
11137,5918,0,240,,
11137,5961,0,240,,
1116,12631,2,300,,
1116,12632,2,300,,
11196,11199,0,240,,
11199,11196,0,240,,
1120,1971,0,240,,
1120,2062,2,300,,
11200,1769,2,300,,
11204,13054,0,240,,
11204,2264,0,240,,
11208,6486,0,240,,
11208,6566,0,240,,
11208,6802,0,240,,
11216,11695,0,240,,
11216,9087,0,240,,
11221,10360,2,360,,
11221,11088,2,300,,
11221,11221,0,240,,
11221,11227,0,240,,
11221,11260,2,420,,
11221,12764,2,360,,
11221,932,2,420,,
11227,10360,2,360,,
11227,11260,2,420,,
11243,11243,0,240,,
11243,11247,2,300,,
11243,11295,2,300,,
11243,11707,2,300,,
11243,12716,2,300,,
11243,6753,0,240,,
11247,11243,2,300,,
11247,11247,0,240,,
11247,11295,2,360,,
11247,11707,2,300,,
11247,12716,2,360,,
11247,6753,0,240,,
11248,11246,0,240,,
11248,11253,0,240,,
11248,11266,0,240,,
11248,11267,0,240,,
11248,11269,0,240,,
11248,11289,0,240,,
11248,11788,0,240,,
11251,11251,0,240,,
11251,11286,0,240,,
11251,11287,0,240,,
11252,11251,0,240,,
11252,11252,0,240,,
11252,11286,0,240,,
11252,11287,0,240,,
11254,11398,2,300,,
11254,6754,0,240,,
11255,11255,4,0,14297491,14297480
11255,11255,4,0,14297492,14297483
11255,11255,4,0,14297493,14297481
11255,11255,4,0,14297494,14297482
11255,11255,4,0,14297495,14297484
11255,11255,4,0,14297496,14297485
11255,11255,4,0,14297497,14297486
11255,11255,4,0,14297498,14297487
11255,11255,4,0,14297499,14297488
11255,11255,4,0,14297500,14297489
11255,11255,4,0,14297501,14297490
11255,11255,4,0,14297502,14297471
11255,11255,4,0,14297503,14297472
11255,11255,4,0,14297504,14297473
11255,11255,4,0,14297505,14297474
11255,11255,4,0,14297506,14297475
11255,11255,4,0,14297507,14297476
11255,11255,4,0,14297508,14297477
11255,11255,4,0,14297509,14297478
11255,11255,4,0,14297510,14297479
11255,11255,4,0,14318228,14318252
11255,11255,4,0,14318229,14318253
11255,11255,4,0,14318230,14318255
11255,11255,4,0,14318231,14318256
11255,11255,4,0,14318232,14318257
11255,11255,4,0,14318233,14318258
11255,11255,4,0,14318234,14318259
11255,11255,4,0,14318235,14318260
11255,11255,4,0,14318236,14318261
11255,11255,4,0,14318237,14318262
11255,11255,4,0,14318238,14318263
11255,11255,4,0,14318239,14318264
11255,11255,4,0,14318240,14318265
11255,11255,4,0,14318241,14318266
11255,11255,4,0,14318242,14318267
11255,11255,4,0,14318243,14318268
11255,11255,4,0,14318244,14318269
11255,11255,4,0,14318245,14318270
11255,11255,4,0,14318246,14318271
11255,11255,4,0,14318247,14318272
11255,11255,4,0,14318248,14318273
11255,11255,4,0,14318250,14318274
11255,11255,4,0,14318251,14318275
11256,11246,0,240,,
11256,11248,0,240,,
11256,11253,0,240,,
11256,11266,0,240,,
11256,11267,0,240,,
11256,11269,0,240,,
11256,11288,0,240,,
11256,11289,0,240,,
11256,11788,0,240,,
11258,10360,0,240,,
11258,11258,4,0,14264500,14257543
11258,11258,4,0,14264501,14257544
11258,11258,4,0,14264502,14257545
11258,11258,4,0,14264503,14257546
11258,11258,4,0,14264504,14257547
11258,11258,4,0,14264505,14257549
11258,11258,4,0,14264506,14257550
11258,11258,4,0,14264507,14257551
11258,11258,4,0,14264508,14257552
11258,11258,4,0,14264509,14257553
11258,11258,4,0,14264510,14257554
11258,11258,4,0,14264511,14257555
11258,11258,4,0,14264512,14257486
11258,11258,4,0,14264513,14257487
11258,11258,4,0,14264514,14257488
11258,11258,4,0,14264515,14257489
11258,11258,4,0,14264516,14257490
11258,11258,4,0,14264517,14257491
11258,11258,4,0,14264518,14257509
11258,11258,4,0,14264519,14257510
11258,11258,4,0,14264520,14257511
11258,11258,4,0,14264521,14257512
11258,11258,4,0,14264522,14257513
11258,11258,4,0,14264523,14257514
11258,11258,4,0,14264524,14257515
11258,11258,4,0,14264525,14257485
11258,11258,4,0,14264526,14257516
11258,11258,4,0,14264527,14257517
11258,11258,4,0,14264528,14257518
11258,11258,4,0,14264529,14257519
11258,11258,4,0,14264530,14257520
11258,11258,4,0,14264531,14257521
11258,11258,4,0,14264532,14257522
11258,11258,4,0,14264533,14257523
11258,11258,4,0,14264534,14257524
11258,11258,4,0,14264535,14257525
11258,11258,4,0,14264536,14257526
11258,11258,4,0,14264537,14257527
11258,11258,4,0,14264538,14257528
11258,11258,4,0,14264539,14257529
11258,11258,4,0,14264540,14257530
11258,11258,4,0,14264541,14257532
11258,11258,4,0,14264542,14257493
11258,11258,4,0,14264543,14257494
11258,11258,4,0,14264544,14257495
11258,11258,4,0,14264545,14257496
11258,11258,4,0,14264546,14257497
11258,11258,4,0,14264547,14257548
11258,11258,4,0,14264548,14257498
11258,11258,4,0,14264549,14257499
11258,11258,4,0,14264550,14257500
11258,11258,4,0,14264551,14257501
11258,11258,4,0,14264552,14257502
11258,11258,4,0,14264553,14257503
11258,11258,4,0,14264554,14257504
11258,11258,4,0,14264555,14257505
11258,11258,4,0,14264556,14257506
11258,11258,4,0,14264557,14257507
11258,11258,4,0,14264558,14257508
11258,11258,4,0,14264559,14257533
11258,11258,4,0,14264560,14257534
11258,11258,4,0,14264561,14257535
11258,11258,4,0,14264562,14257531
11258,11258,4,0,14264563,14257492
11258,11258,4,0,14264564,14257492
11258,11258,4,0,14264565,14257536
11258,11258,4,0,14264566,14257537
11258,11258,4,0,14264567,14257538
11258,11258,4,0,14264568,14257541
11258,11258,4,0,14264569,14257531
11258,11258,4,0,14264570,14257539
11258,11258,4,0,14264571,14257507
11258,11258,4,0,14264572,14257508
11258,11258,4,0,14264573,14257533
11258,11258,4,0,14264574,14257534
11258,11258,4,0,14264575,14257535
11258,11258,4,0,14264576,14257536
11258,11258,4,0,14264577,14257537
11258,11258,4,0,14264578,14257538
11258,11258,4,0,14264579,14257541
11258,11258,4,0,14264580,14257539
11258,11258,4,0,14264581,14257540
11258,11258,4,0,14264582,14257540
11258,11258,4,0,14264583,14257542
11258,11258,4,0,14264654,14257632
11258,11258,4,0,14264655,14257684
11258,11258,4,0,14264656,14257682
11258,11258,4,0,14264657,14257683
11258,11258,4,0,14264658,14257685
11258,11258,4,0,14264659,14257686
11258,11258,4,0,14264660,14257687
11258,11258,4,0,14264661,14257688
11258,11258,4,0,14264662,14257689
11258,11258,4,0,14264663,14257690
11258,11258,4,0,14264664,14257691
11258,11258,4,0,14264665,14257639
11258,11258,4,0,14264666,14257692
11258,11258,4,0,14264667,14257693
11258,11258,4,0,14264668,14257694
11258,11258,4,0,14264669,14257695
11258,11258,4,0,14264670,14257633
11258,11258,4,0,14264671,14257664
11258,11258,4,0,14264672,14257635
11258,11258,4,0,14264673,14257667
11258,11258,4,0,14264674,14257636
11258,11258,4,0,14264675,14257637
11258,11258,4,0,14264676,14257638
11258,11258,4,0,14264677,14257668
11258,11258,4,0,14264678,14257634
11258,11258,4,0,14264679,14257640
11258,11258,4,0,14264680,14257641
11258,11258,4,0,14264681,14257642
11258,11258,4,0,14264682,14257654
11258,11258,4,0,14264683,14257655
11258,11258,4,0,14264684,14257656
11258,11258,4,0,14264685,14257657
11258,11258,4,0,14264686,14257658
11258,11258,4,0,14264687,14257659
11258,11258,4,0,14264688,14257662
11258,11258,4,0,14264689,14257663
11258,11258,4,0,14264690,14257669
11258,11258,4,0,14264691,14257670
11258,11258,4,0,14264692,14257647
11258,11258,4,0,14264693,14257671
11258,11258,4,0,14264694,14257672
11258,11258,4,0,14264695,14257673
11258,11258,4,0,14264696,14257674
11258,11258,4,0,14264697,14257675
11258,11258,4,0,14264698,14257676
11258,11258,4,0,14264699,14257677
11258,11258,4,0,14264700,14257678
11258,11258,4,0,14264701,14257679
11258,11258,4,0,14264702,14257665
11258,11258,4,0,14264703,14257666
11258,11258,4,0,14264704,14257680
11258,11258,4,0,14264705,14257681
11258,11258,4,0,14264706,14257643
11258,11258,4,0,14264707,14257644
11258,11258,4,0,14264708,14257646
